X0,y,X89
2015-12-16 12:30:00,22.3625,19.9
2015-12-16 12:35:00,22.3125,20.0
2015-12-16 12:40:00,22.2625,20.0
2015-12-16 12:45:00,22.2625,20.0
2015-12-16 12:50:00,21.98125,19.7
2015-12-16 12:55:00,21.7,19.8
2015-12-16 13:00:00,21.7,19.8
2015-12-16 13:05:00,21.5375,19.7
2015-12-16 13:10:00,21.375,19.6
2015-12-16 13:15:00,21.375,19.7
2015-12-16 13:20:00,21.24375,19.7
2015-12-16 13:25:00,21.1125,19.6
2015-12-16 13:30:00,21.1125,19.6
2015-12-16 13:35:00,21.0375,19.6
2015-12-16 13:40:00,20.9625,19.6
2015-12-16 13:45:00,20.9625,19.6
2015-12-16 13:50:00,20.9125,19.6
2015-12-16 13:55:00,20.8625,19.5
2015-12-16 14:00:00,20.8625,19.6
2015-12-16 14:05:00,20.81875,19.5
2015-12-16 14:10:00,20.775,19.6
2015-12-16 14:15:00,20.775,19.5
2015-12-16 14:20:00,20.75625,19.4
2015-12-16 14:25:00,20.7375,19.4
2015-12-16 14:30:00,20.7375,19.4
2015-12-16 14:35:00,20.71875,19.3
2015-12-16 14:40:00,20.7,19.3
2015-12-16 14:45:00,20.7,19.3
2015-12-16 14:50:00,20.68125,19.2
2015-12-16 14:55:00,20.6625,19.2
2015-12-16 15:00:00,20.6625,19.0
2015-12-16 15:05:00,20.6375,18.9
2015-12-16 15:10:00,20.6125,18.8
2015-12-16 15:15:00,20.6125,18.7
2015-12-16 15:20:00,20.575,18.6
2015-12-16 15:25:00,20.5375,18.6
2015-12-16 15:30:00,20.5375,18.6
2015-12-16 15:35:00,20.5,18.6
2015-12-16 15:40:00,20.4625,18.5
2015-12-16 15:45:00,20.4625,18.5
2015-12-16 15:50:00,20.41875,18.6
2015-12-16 15:55:00,20.375,18.5
2015-12-16 16:00:00,20.375,18.4
2015-12-16 16:05:00,20.35625,18.4
2015-12-16 16:10:00,20.3375,18.4
2015-12-16 16:15:00,20.3375,18.3
2015-12-16 16:20:00,20.3,18.3
2015-12-16 16:25:00,20.2625,18.3
2015-12-16 16:30:00,20.2625,18.3
2015-12-16 16:35:00,20.25625,18.2
2015-12-16 16:40:00,20.25,18.2
2015-12-16 16:45:00,20.25,18.2
2015-12-16 16:50:00,20.2166666666,18.2
2015-12-16 16:55:00,20.1833333333,18.2
2015-12-16 17:00:00,20.1833333333,18.2
2015-12-16 17:05:00,20.1708333333,18.2
2015-12-16 17:10:00,20.1583333332,18.1
2015-12-16 17:15:00,20.1583333332,18.1
2015-12-16 17:20:00,20.1541666666,18.1
2015-12-16 17:25:00,20.15,18.1
2015-12-16 17:30:00,20.15,18.0
2015-12-16 17:35:00,20.1249999999,18.1
2015-12-16 17:40:00,20.0999999998,18.1
2015-12-16 17:45:00,20.0999999998,18.1
2015-12-16 17:50:00,20.0958333331,18.1
2015-12-16 17:55:00,20.0916666665,18.1
2015-12-16 18:00:00,20.0916666665,18.0
2015-12-16 18:05:00,20.1208333331,18.0
2015-12-16 18:10:00,20.1499999998,18.0
2015-12-16 18:15:00,20.1499999998,17.9
2015-12-16 18:20:00,20.545833333,18.0
2015-12-16 18:25:00,20.9416666663,18.2
