X0,y
2015-12-18 19:30:00,20.983333333
2015-12-18 19:45:00,20.9166666665
2015-12-18 20:00:00,20.8666666665
2015-12-18 20:15:00,20.8333333332
2015-12-18 20:30:00,20.875
2015-12-18 20:45:00,20.85
2015-12-18 21:00:00,20.85
2015-12-18 21:15:00,20.825
2015-12-18 21:30:00,20.7
2015-12-18 21:45:00,20.575
2015-12-18 22:00:00,20.375
2015-12-18 22:15:00,20.275
2015-12-18 22:30:00,20.125
2015-12-18 22:45:00,19.975
2015-12-18 23:00:00,19.9
2015-12-18 23:15:00,19.775
2015-12-18 23:30:00,19.7
2015-12-18 23:45:00,19.6375
2015-12-19 00:00:00,19.575
2015-12-19 00:15:00,19.525
2015-12-19 00:30:00,19.475
2015-12-19 00:45:00,19.4125
2015-12-19 01:00:00,19.375
2015-12-19 01:15:00,19.3125
2015-12-19 01:30:00,19.275
2015-12-19 01:45:00,19.2125
2015-12-19 02:00:00,19.15
2015-12-19 02:15:00,19.0875
2015-12-19 02:30:00,19.025
2015-12-19 02:45:00,18.975
2015-12-19 03:00:00,18.925
2015-12-19 03:15:00,18.925
2015-12-19 03:30:00,18.875
2015-12-19 03:45:00,18.8375
2015-12-19 04:00:00,18.8
2015-12-19 04:15:00,18.75
2015-12-19 04:30:00,18.725
2015-12-19 04:45:00,18.6666666665
2015-12-19 05:00:00,18.6333333333
2015-12-19 05:15:00,18.6
2015-12-19 05:30:00,18.5416666665
2015-12-19 05:45:00,18.525
2015-12-19 06:00:00,18.525
2015-12-19 06:15:00,18.4375
2015-12-19 06:30:00,18.425
2015-12-19 06:45:00,18.375
2015-12-19 07:00:00,18.35
2015-12-19 07:15:00,18.325
2015-12-19 07:30:00,18.3
2015-12-19 07:45:00,18.25
2015-12-19 08:00:00,18.2
2015-12-19 08:15:00,18.7125
2015-12-19 08:30:00,21.0
2015-12-19 08:45:00,23.3625
2015-12-19 09:00:00,23.425
2015-12-19 09:15:00,22.1375
2015-12-19 09:30:00,21.325
2015-12-19 09:45:00,20.8375
2015-12-19 10:00:00,20.45
2015-12-19 10:15:00,20.75
2015-12-19 10:30:00,22.125
2015-12-19 10:45:00,22.5875
2015-12-19 11:00:00,21.85
2015-12-19 11:15:00,21.35
2015-12-19 11:30:00,21.0
2015-12-19 11:45:00,20.8
2015-12-19 12:00:00,20.7
2015-12-19 12:15:00,20.65
2015-12-19 12:30:00,20.6
2015-12-19 12:45:00,20.6
2015-12-19 13:00:00,20.625
2015-12-19 13:15:00,20.675
2015-12-19 13:30:00,21.35
2015-12-19 13:45:00,22.45
2015-12-19 14:00:00,22.175
2015-12-19 14:15:00,21.75
2015-12-19 14:30:00,21.5499999995
2015-12-19 14:45:00,21.4166666665
2015-12-19 15:00:00,21.3416666662
2015-12-19 15:15:00,21.3
2015-12-19 15:30:00,21.3
2015-12-19 15:45:00,21.3
2015-12-19 16:00:00,21.275
2015-12-19 16:15:00,21.25
2015-12-19 16:30:00,21.25
2015-12-19 16:45:00,21.225
2015-12-19 17:00:00,21.2125
2015-12-19 17:15:00,21.175
2015-12-19 17:30:00,21.15
2015-12-19 17:45:00,21.1
2015-12-19 18:00:00,21.0625
2015-12-19 18:15:00,21.025
2015-12-19 18:30:00,20.9875
2015-12-19 18:45:00,20.925
2015-12-19 19:00:00,20.85
2015-12-19 19:15:00,20.7875
2015-12-19 19:30:00,20.6875
2015-12-19 19:45:00,20.5875
2015-12-19 20:00:00,20.525
2015-12-19 20:15:00,20.425
2015-12-19 20:30:00,20.5125
2015-12-19 20:45:00,20.4625
2015-12-19 21:00:00,20.425
2015-12-19 21:15:00,20.3875
2015-12-19 21:30:00,20.3375
2015-12-19 21:45:00,20.1625
2015-12-19 22:00:00,20.0625
2015-12-19 22:15:00,19.925
2015-12-19 22:30:00,19.825
2015-12-19 22:45:00,19.75
2015-12-19 23:00:00,19.65
2015-12-19 23:15:00,19.5625
2015-12-19 23:30:00,19.4625
2015-12-19 23:45:00,19.4
2015-12-20 00:00:00,19.3625
2015-12-20 00:15:00,19.3
2015-12-20 00:30:00,19.233333333
2015-12-20 00:45:00,19.1749999997
