Date,Open,High,Low,Close,Volume,Adj Close
2007-12-26 00:00:00,199.01,200.96,196.82,198.95,25133300,198.1
2007-12-27 00:00:00,198.95,202.96,197.8,198.57,28411700,197.72
2007-12-28 00:00:00,200.59,201.56,196.88,199.83,24987400,198.98
2007-12-31 00:00:00,199.5,200.5,197.75,198.08,19261900,197.23
2008-01-02 00:00:00,199.27,200.26,192.55,194.84,38542100,194.01
2008-01-03 00:00:00,195.41,197.39,192.69,194.93,30073800,194.1
2008-01-04 00:00:00,191.45,193.0,178.89,180.05,51994000,179.28
2008-01-07 00:00:00,181.25,183.6,170.23,177.64,74006900,176.88
2008-01-08 00:00:00,180.14,182.46,170.8,171.25,54422000,170.52
2008-01-09 00:00:00,171.3,179.5,168.3,179.4,64781500,178.63
2008-01-10 00:00:00,177.58,181.0,175.41,178.02,52963400,177.26
2008-01-11 00:00:00,176.0,177.85,170.0,172.69,44010200,171.95
2008-01-14 00:00:00,177.52,179.42,175.17,178.78,39301800,178.02
2008-01-15 00:00:00,177.72,179.22,164.66,169.04,83688500,168.32
2008-01-16 00:00:00,165.23,169.01,156.7,159.64,79065900,158.96
2008-01-17 00:00:00,161.51,165.36,158.42,160.89,62780700,160.2
2008-01-18 00:00:00,161.71,165.75,159.61,161.36,61583700,160.67
2008-01-22 00:00:00,148.06,159.98,146.0,155.64,86955500,154.97
2008-01-23 00:00:00,136.19,140.0,126.14,139.07,120463200,138.48
2008-01-24 00:00:00,139.99,140.7,132.01,135.6,71638100,135.02
2008-01-25 00:00:00,138.99,139.09,129.61,130.01,55526400,129.45
2008-01-28 00:00:00,128.16,133.2,126.45,130.01,52673000,129.45
2008-01-29 00:00:00,131.15,132.79,129.05,131.54,39285100,130.98
2008-01-30 00:00:00,131.37,135.45,130.0,132.18,44394700,131.61
2008-01-31 00:00:00,129.45,136.65,129.4,135.36,48059800,134.78
2008-02-01 00:00:00,136.24,136.59,132.18,133.75,36098000,133.18
2008-02-04 00:00:00,134.21,135.9,131.42,131.65,32115500,131.09
2008-02-05 00:00:00,130.43,134.0,128.9,129.36,40751500,128.81
2008-02-06 00:00:00,130.83,131.92,121.77,122.0,56188300,121.48
2008-02-07 00:00:00,119.97,124.78,117.27,121.24,74404700,120.72
2008-02-08 00:00:00,122.08,125.7,121.6,125.48,48427600,124.94
